Text,Title,Id,Count,Date,Category
"Re â€œObama Alters Hospital Rules for Gay Rightsâ€ù (front page, April 16):",Hospital Visiting Rights for Same-Sex Partners,54457293798810347c1a843e,1,2010-04-26T00:00:00Z,Opinion
"You cannot have people who have no expertise in police work sit in judgment of police officers, because police work by its very nature is esoteric. When you have to have represented on that board every segment of the community, the gay segment, black, the Hispanic and so on, they tend to pursue a political agenda as opposed to looking at police behavior in an objective and fair fashion. So they can't be coming down with decisions that are fair.","For Police Union Head, Review Board Proposal Is Latest Indignity",4fd1d13d8eb7c8105d70bb37,3,1992-06-28T00:00:00Z,New York and Region
"In an interview with Tracy Clark-Flory on Salon, Ms. Decker carefully explains that asexuals distinguish between sexual arousal, sex drive and sexual attraction: â€œSexual arousal suggests a physiological response, sex drive suggests a desire to respond to arousal or a desire to pursue sex, and sexual attraction suggests an experience of finding someone sexually appealing.â€ù These distinctions are important, especially in the case of masturbation: â€œAn asexual person might have a libido and be able to get aroused, but not have those experiences directed at anyone.â€ù",Why Asexuals Donâ€™t Want to Be Invisible Anymore,54232178798810604c505435,4,2014-09-24T15:44:50Z,Unknown
"After we filed back out into the Tennessee sun, I caught up with Jada Star Andersen, a niece of Ms. Parton who performs in the show. She considers herself â€œa flaming liberalâ€ù in the family. Ms. Parton has close family members and staff members who are gay, she said, adding that her aunt loves that Dollywood is a mecca for gays â€” though thatâ€™s not a sentiment shared by everyone in the family.","Dollywood: A Little Bit Country, a Little Bit Gay",53f782e67988105a42594f8f,28,2014-08-24T00:00:00Z,Travel
"''Gays and lesbians are a very good group of people to work with,'' Mr. Freeman said. ''They have a high level of disposable income and they love to travel and love to dine out.''",San Francisco Toasts Gay Weddings,4fd24bb98eb7c8105d7eacb6,20,2004-02-29T00:00:00Z,Unknown
"The concept was brought to the division by Maer Roshan, the former editor in chief of the short-lived QW, a magazine for gay men and lesbians that closed in late 1992 after its principal backer died of AIDS. The proposed magazine would include news, features and profiles, and would aim to encompass the spectrum of gay political opinion.",Time Inc. Considers Starting a Magazine for Gay Readers,4fd1e0ee8eb7c8105d727f1f,1,1994-01-24T00:00:00Z,Business
Mr. Winslow urged any justice with qualms about officiating for same-sex couples to resign.,"Obey Same-Sex Marriage Law, Officials Told",4fd23c0b8eb7c8105d7d0ed5,2,2004-04-26T00:00:00Z,U.S.
"To the contrary, Mr. Lieberman argued, the law was valid and fit these defendants because â€œthey chose to go to a gay Web site, and there was a particular remark made by one of the defendants that this was an easy way to rob people.â€ù","To Commit a Hate Crime, Must the Criminal Truly Hate the Victim?",548b8e1d79881004157bba6d,18,2007-06-20T00:00:00Z,N.Y. / Region
"All this affirmation of existing hostility means is that gay scouts and leaders will have to go on lying to their friends and bosses in violation of the Boy Scout Oath. â€œMorally straightâ€ù does not mean sexually straight. As the Scouts will tell you at every opportunity, it means â€œto live your life with honesty, to be clean in your speech and actions, and to be a person of strong character.â€ù","Don't Ask, Don't Tell, Don't Think",5005d0c21c22dfde670b0b49,2,2012-07-17T16:50:14Z,Opinion
"The fears by gay priests and seminarians intensified this week after news reports from the Vatican that a long-awaited church document will bar gay men, even those who are celibate, from becoming Roman Catholic priests.",Gay Men Ponder Impact Of Proposal by Vatican,4fd25f7e8eb7c8105d80f225,4,2005-09-23T00:00:00Z,U.S.
"Financial experts agree that the most important step that unmarried couples of long standing should take to protect each other is to draw up wills. Even if your assets are minimal - your apartment furnishings and a few sentimental keepsakes, say -you should have a will to insure that those items go to your partner and not to the family from whom you may be estranged, says Mark S. Senak, legal director of the Gay Men's Health Crisis in New York, which counsels men with AIDS and drafts 40 to 60 wills a month for clients.","Living Together, in Sickness and Health",4fd16b808eb7c8105d65d00c,1,1987-06-07T00:00:00Z,Business
