"positive","pos_iwf","negative","neg_iwf"
"a+",1.146128035678238,"abnormal",1.146128035678238
"abound",1.146128035678238,"abolish",1.146128035678238
"abounds",1.146128035678238,"abominable",1.146128035678238
"abundance",1.146128035678238,"abominably",1.146128035678238
"abundant",1.146128035678238,"abominate",1.146128035678238
"accessable",1.146128035678238,"abomination",1.146128035678238
"accessible",0.8450980400142568,"abort",1.146128035678238
"acclaim",1.146128035678238,"aborted",1.146128035678238
"acclaimed",1.146128035678238,"aborts",1.146128035678238
"acclamation",1.146128035678238,"abrade",1.146128035678238
"accolade",1.146128035678238,"abrasive",1.146128035678238
"accolades",1.146128035678238,"abrupt",1.146128035678238
"accommodative",1.146128035678238,"abruptly",1.146128035678238
"accomodative",1.146128035678238,"abscond",1.146128035678238
"accomplish",1.146128035678238,"absence",1.146128035678238
"accomplished",1.146128035678238,"absent-minded",1.146128035678238
"accomplishment",1.146128035678238,"absentee",0.8450980400142568
"accomplishments",1.146128035678238,"absurd",1.146128035678238
"accurate",1.146128035678238,"absurdity",1.146128035678238
"accurately",1.146128035678238,"absurdly",1.146128035678238
"achievable",0.8450980400142568,"absurdness",1.146128035678238
"achievement",1.146128035678238,"abuse",0.8450980400142568
"achievements",1.146128035678238,"abused",1.146128035678238
"achievible",1.146128035678238,"abuses",1.146128035678238
"acumen",1.146128035678238,"abusive",1.146128035678238
"adaptable",1.146128035678238,"abysmal",1.146128035678238
"adaptive",1.146128035678238,"abysmally",1.146128035678238
"adequate",1.146128035678238,"abyss",1.146128035678238
"adjustable",1.146128035678238,"accidental",1.146128035678238
"admirable",1.146128035678238,"accost",1.146128035678238
"admirably",1.146128035678238,"accursed",1.146128035678238
"admiration",1.146128035678238,"accusation",1.146128035678238
"admire",0.8450980400142568,"accusations",1.146128035678238
"admirer",1.146128035678238,"accuse",1.146128035678238
"admiring",1.146128035678238,"accuses",1.146128035678238
"admiringly",1.146128035678238,"accusing",0.8450980400142568
"adorable",1.146128035678238,"accusingly",1.146128035678238
"adore",1.146128035678238,"acerbate",1.146128035678238
"adored",1.146128035678238,"acerbic",1.146128035678238
"adorer",1.146128035678238,"acerbically",1.146128035678238
"adoring",1.146128035678238,"ache",1.146128035678238
"adoringly",1.146128035678238,"ached",1.146128035678238
"adroit",1.146128035678238,"aches",1.146128035678238
"adroitly",1.146128035678238,"achey",1.146128035678238
"adulate",1.146128035678238,"aching",1.146128035678238
"adulation",1.146128035678238,"acrid",1.146128035678238
"adulatory",1.146128035678238,"acridly",1.146128035678238
"advanced",1.146128035678238,"acridness",1.146128035678238
"advantage",0.8450980400142568,"acrimonious",1.146128035678238
"advantageous",1.146128035678238,"acrimoniously",1.146128035678238
"advantageously",1.146128035678238,"acrimony",1.146128035678238
"advantages",1.146128035678238,"adamant",1.146128035678238
"adventuresome",1.146128035678238,"adamantly",1.146128035678238
"adventurous",1.146128035678238,"addict",1.146128035678238
"advocate",1.146128035678238,"addicted",1.146128035678238
"advocated",1.146128035678238,"addicting",1.146128035678238
"advocates",1.146128035678238,"addicts",1.146128035678238
"affability",1.146128035678238,"admonish",1.146128035678238
"affable",1.146128035678238,"admonisher",1.146128035678238
"affably",1.146128035678238,"admonishingly",1.146128035678238
"affectation",1.146128035678238,"admonishment",1.146128035678238
"affection",1.146128035678238,"admonition",1.146128035678238
"affectionate",1.146128035678238,"adulterate",1.146128035678238
"affinity",1.146128035678238,"adulterated",1.146128035678238
"affirm",1.146128035678238,"adulteration",1.146128035678238
"affirmation",1.146128035678238,"adulterier",1.146128035678238
"affirmative",0.8450980400142568,"adversarial",1.146128035678238
"affluence",1.146128035678238,"adversary",1.146128035678238
"affluent",1.146128035678238,"adverse",1.146128035678238
"afford",1.146128035678238,"adversity",1.146128035678238
"affordable",1.146128035678238,"afflict",1.146128035678238
"affordably",1.146128035678238,"affliction",1.146128035678238
"afordable",1.146128035678238,"afflictive",1.146128035678238
"agile",1.146128035678238,"affront",1.146128035678238
"agilely",1.146128035678238,"afraid",0.8450980400142568
"agility",1.146128035678238,"aggravate",1.146128035678238
"agreeable",1.146128035678238,"aggravating",1.146128035678238
"agreeableness",1.146128035678238,"aggravation",1.146128035678238
"agreeably",1.146128035678238,"aggression",1.146128035678238
"all-around",1.146128035678238,"aggressive",0.8450980400142568
"alluring",1.146128035678238,"aggressiveness",1.146128035678238
"alluringly",1.146128035678238,"aggressor",1.146128035678238
"altruistic",1.146128035678238,"aggrieve",1.146128035678238
"altruistically",1.146128035678238,"aggrieved",1.146128035678238
"amaze",1.146128035678238,"aggrivation",1.146128035678238
"amazed",1.146128035678238,"aghast",1.146128035678238
"amazement",1.146128035678238,"agonies",1.146128035678238
"amazes",1.146128035678238,"agonize",1.146128035678238
"amazing",0.8450980400142568,"agonizing",1.146128035678238
"amazingly",1.146128035678238,"agonizingly",1.146128035678238
"ambitious",1.146128035678238,"agony",1.146128035678238
"ambitiously",1.146128035678238,"aground",1.146128035678238
"ameliorate",1.146128035678238,"ail",1.146128035678238
"amenable",1.146128035678238,"ailing",1.146128035678238
"amenity",1.146128035678238,"ailment",1.146128035678238
"amiability",1.146128035678238,"aimless",1.146128035678238
"amiabily",1.146128035678238,"alarm",1.146128035678238
"amiable",1.146128035678238,"alarmed",1.146128035678238
"amicability",1.146128035678238,"alarming",1.146128035678238
"amicable",1.146128035678238,"alarmingly",1.146128035678238
"amicably",1.146128035678238,"alienate",1.146128035678238
"amity",1.146128035678238,"alienated",1.146128035678238
"ample",1.146128035678238,"alienation",1.146128035678238
"amply",1.146128035678238,"allegation",1.146128035678238
"amuse",1.146128035678238,"allegations",1.146128035678238
"amusing",1.146128035678238,"allege",1.146128035678238
"amusingly",1.146128035678238,"allergic",1.146128035678238
"angel",1.146128035678238,"allergies",1.146128035678238
"angelic",1.146128035678238,"allergy",1.146128035678238
"apotheosis",1.146128035678238,"aloof",1.146128035678238
"appeal",0.8450980400142568,"altercation",1.146128035678238
"appealing",1.146128035678238,"ambiguity",1.146128035678238
"applaud",1.146128035678238,"ambiguous",1.146128035678238
"appreciable",1.146128035678238,"ambivalence",1.146128035678238
"appreciate",0.8450980400142568,"ambivalent",1.146128035678238
"appreciated",0.8450980400142568,"ambush",1.146128035678238
"appreciates",1.146128035678238,"amiss",1.146128035678238
"appreciative",1.146128035678238,"amputate",1.146128035678238
"appreciatively",1.146128035678238,"anarchism",0.8450980400142568
"appropriate",1.146128035678238,"anarchist",0.8450980400142568
"approval",1.146128035678238,"anarchistic",1.146128035678238
"approve",1.146128035678238,"anarchy",1.146128035678238
"ardent",0.8450980400142568,"anemic",1.146128035678238
"ardently",1.146128035678238,"anger",0.8450980400142568
"ardor",1.146128035678238,"angrily",1.146128035678238
"articulate",1.146128035678238,"angriness",1.146128035678238
"aspiration",1.146128035678238,"angry",0.6690067809585756
"aspirations",1.146128035678238,"anguish",1.146128035678238
"aspire",1.146128035678238,"animosity",1.146128035678238
"assurance",1.146128035678238,"annihilate",1.146128035678238
"assurances",1.146128035678238,"annihilation",1.146128035678238
"assure",1.146128035678238,"annoy",1.146128035678238
"assuredly",1.146128035678238,"annoyance",1.146128035678238
"assuring",1.146128035678238,"annoyances",1.146128035678238
"astonish",1.146128035678238,"annoyed",1.146128035678238
"astonished",1.146128035678238,"annoying",1.146128035678238
"astonishing",1.146128035678238,"annoyingly",1.146128035678238
"astonishingly",1.146128035678238,"annoys",1.146128035678238
"astonishment",1.146128035678238,"anomalous",1.146128035678238
"astound",1.146128035678238,"anomaly",1.146128035678238
"astounded",1.146128035678238,"antagonism",1.146128035678238
"astounding",1.146128035678238,"antagonist",1.146128035678238
"astoundingly",1.146128035678238,"antagonistic",1.146128035678238
"astutely",1.146128035678238,"antagonize",1.146128035678238
"attentive",1.146128035678238,"anti-",1.146128035678238
"attraction",1.146128035678238,"anti-american",1.146128035678238
"attractive",1.146128035678238,"anti-israeli",1.146128035678238
"attractively",1.146128035678238,"anti-occupation",1.146128035678238
"attune",1.146128035678238,"anti-proliferation",1.146128035678238
"audible",1.146128035678238,"anti-semites",1.146128035678238
"audibly",1.146128035678238,"anti-social",1.146128035678238
"auspicious",1.146128035678238,"anti-us",1.146128035678238
"authentic",0.8450980400142568,"anti-white",1.146128035678238
"authoritative",1.146128035678238,"antipathy",1.146128035678238
"autonomous",1.146128035678238,"antiquated",1.146128035678238
"available",0.8450980400142568,"antithetical",1.146128035678238
"aver",1.146128035678238,"anxieties",1.146128035678238
"avid",1.146128035678238,"anxiety",1.146128035678238
"avidly",1.146128035678238,"anxious",1.146128035678238
"award",1.146128035678238,"anxiously",1.146128035678238
"awarded",1.146128035678238,"anxiousness",1.146128035678238
"awards",1.146128035678238,"apathetic",1.146128035678238
"awe",1.146128035678238,"apathetically",1.146128035678238
"awed",1.146128035678238,"apathy",1.146128035678238
"awesome",1.146128035678238,"apocalypse",1.146128035678238
"awesomely",1.146128035678238,"apocalyptic",1.146128035678238
"awesomeness",1.146128035678238,"apologist",1.146128035678238
"awestruck",1.146128035678238,"apologists",1.146128035678238
"awsome",1.146128035678238,"appal",1.146128035678238
"backbone",1.146128035678238,"appall",1.146128035678238
"balanced",1.146128035678238,"appalled",1.146128035678238
"bargain",0.8450980400142568,"appalling",1.146128035678238
"beauteous",1.146128035678238,"appallingly",1.146128035678238
"beautiful",0.8450980400142568,"apprehension",1.146128035678238
"beautifullly",1.146128035678238,"apprehensions",1.146128035678238
"beautifully",1.146128035678238,"apprehensive",1.146128035678238
"beautify",1.146128035678238,"apprehensively",1.146128035678238
"beauty",0.8450980400142568,"arbitrary",1.146128035678238
"beckon",1.146128035678238,"arcane",1.146128035678238
"beckoned",1.146128035678238,"archaic",1.146128035678238
"beckoning",1.146128035678238,"arduous",1.146128035678238
"beckons",1.146128035678238,"arduously",1.146128035678238
"believable",1.146128035678238,"argumentative",1.146128035678238
"believeable",1.146128035678238,"arrogance",0.6690067809585756
"beloved",0.8450980400142568,"arrogant",1.146128035678238
"benefactor",1.146128035678238,"arrogantly",1.146128035678238
"beneficent",1.146128035678238,"ashamed",1.146128035678238
"beneficial",1.146128035678238,"asinine",1.146128035678238
"beneficially",1.146128035678238,"asininely",1.146128035678238
"beneficiary",1.146128035678238,"asinininity",1.146128035678238
"benefit",0.8450980400142568,"askance",1.146128035678238
"benefits",0.8450980400142568,"asperse",1.146128035678238
"benevolence",1.146128035678238,"aspersion",1.146128035678238
"benevolent",1.146128035678238,"aspersions",1.146128035678238
"benifits",1.146128035678238,"assail",1.146128035678238
"best",0.5440680443502757,"assassin",1.146128035678238
"best-known",1.146128035678238,"assassinate",1.146128035678238
"best-performing",1.146128035678238,"assault",0.8450980400142568
"best-selling",1.146128035678238,"assult",1.146128035678238
"better",0.6690067809585756,"astray",1.146128035678238
"better-known",1.146128035678238,"asunder",1.146128035678238
"better-than-expected",1.146128035678238,"atrocious",1.146128035678238
"beutifully",1.146128035678238,"atrocities",1.146128035678238
"blameless",1.146128035678238,"atrocity",1.146128035678238
"bless",0.8450980400142568,"atrophy",1.146128035678238
"blessing",1.146128035678238,"attack",1.146128035678238
"bliss",1.146128035678238,"attacks",0.6690067809585756
"blissful",1.146128035678238,"audacious",1.146128035678238
"blissfully",1.146128035678238,"audaciously",1.146128035678238
"blithe",1.146128035678238,"audaciousness",1.146128035678238
"blockbuster",1.146128035678238,"audacity",1.146128035678238
"bloom",1.146128035678238,"audiciously",1.146128035678238
"blossom",1.146128035678238,"austere",1.146128035678238
"bolster",0.8450980400142568,"authoritarian",1.146128035678238
"bonny",1.146128035678238,"autocrat",1.146128035678238
"bonus",1.146128035678238,"autocratic",1.146128035678238
"bonuses",1.146128035678238,"avalanche",1.146128035678238
"boom",1.146128035678238,"avarice",1.146128035678238
"booming",1.146128035678238,"avaricious",1.146128035678238
"boost",1.146128035678238,"avariciously",1.146128035678238
"boundless",1.146128035678238,"avenge",1.146128035678238
"bountiful",1.146128035678238,"averse",1.146128035678238
"brainiest",1.146128035678238,"aversion",1.146128035678238
"brainy",1.146128035678238,"aweful",1.146128035678238
"brand-new",1.146128035678238,"awful",1.146128035678238
"brave",1.146128035678238,"awfully",1.146128035678238
"bravery",1.146128035678238,"awfulness",1.146128035678238
"bravo",1.146128035678238,"awkward",1.146128035678238
"breakthrough",1.146128035678238,"awkwardness",1.146128035678238
"breakthroughs",1.146128035678238,"ax",1.146128035678238
"breathlessness",1.146128035678238,"babble",1.146128035678238
"breathtaking",1.146128035678238,"back-logged",1.146128035678238
"breathtakingly",1.146128035678238,"back-wood",1.146128035678238
"breeze",1.146128035678238,"back-woods",1.146128035678238
"bright",1.146128035678238,"backache",1.146128035678238
"brighten",1.146128035678238,"backaches",1.146128035678238
"brighter",1.146128035678238,"backaching",1.146128035678238
"brightest",1.146128035678238,"backbite",1.146128035678238
"brilliance",1.146128035678238,"backbiting",1.146128035678238
"brilliances",1.146128035678238,"backward",1.146128035678238
"brilliant",1.146128035678238,"backwardness",1.146128035678238
"brilliantly",1.146128035678238,"backwood",1.146128035678238
"brisk",1.146128035678238,"backwoods",1.146128035678238
"brotherly",1.146128035678238,"bad",0.5440680443502757
"bullish",1.146128035678238,"badly",1.146128035678238
"buoyant",1.146128035678238,"baffle",1.146128035678238
"cajole",1.146128035678238,"baffled",1.146128035678238
"calm",1.146128035678238,"bafflement",1.146128035678238
"calming",1.146128035678238,"baffling",0.8450980400142568
"calmness",1.146128035678238,"bait",1.146128035678238
"capability",1.146128035678238,"balk",1.146128035678238
"capable",1.146128035678238,"banal",1.146128035678238
"capably",1.146128035678238,"banalize",1.146128035678238
"captivate",1.146128035678238,"bane",1.146128035678238
"captivating",1.146128035678238,"banish",1.146128035678238
"carefree",1.146128035678238,"banishment",1.146128035678238
"cashback",1.146128035678238,"bankrupt",1.146128035678238
"cashbacks",1.146128035678238,"barbarian",1.146128035678238
"catchy",1.146128035678238,"barbaric",1.146128035678238
"celebrate",1.146128035678238,"barbarically",1.146128035678238
"celebrated",1.146128035678238,"barbarity",1.146128035678238
"celebration",1.146128035678238,"barbarous",1.146128035678238
"celebratory",1.146128035678238,"barbarously",1.146128035678238
"champ",1.146128035678238,"barren",1.146128035678238
"champion",0.8450980400142568,"baseless",1.146128035678238
"charisma",1.146128035678238,"bash",1.146128035678238
"charismatic",1.146128035678238,"bashed",1.146128035678238
"charitable",1.146128035678238,"bashful",1.146128035678238
"charm",1.146128035678238,"bashing",1.146128035678238
"charming",1.146128035678238,"bastard",1.146128035678238
"charmingly",1.146128035678238,"bastards",1.146128035678238
"chaste",1.146128035678238,"battered",1.146128035678238
"cheaper",1.146128035678238,"battering",1.146128035678238
"cheapest",1.146128035678238,"batty",1.146128035678238
"cheer",1.146128035678238,"bearish",1.146128035678238
"cheerful",1.146128035678238,"beastly",1.146128035678238
"cheery",1.146128035678238,"bedlam",1.146128035678238
"cherish",1.146128035678238,"bedlamite",1.146128035678238
"cherished",0.8450980400142568,"befoul",1.146128035678238
"cherub",1.146128035678238,"beg",1.146128035678238
"chic",1.146128035678238,"beggar",1.146128035678238
