"positive","pos_iwf","negative","neg_iwf"
"a+",1.0413926851582251,"abnormal",1.0413926851582251
"abound",1.0413926851582251,"abolish",1.0413926851582251
"abounds",1.0413926851582251,"abominable",1.0413926851582251
"abundance",1.0413926851582251,"abominably",1.0413926851582251
"abundant",1.0413926851582251,"abominate",1.0413926851582251
"accessable",1.0413926851582251,"abomination",1.0413926851582251
"accessible",1.0413926851582251,"abort",1.0413926851582251
"acclaim",1.0413926851582251,"aborted",1.0413926851582251
"acclaimed",1.0413926851582251,"aborts",1.0413926851582251
"acclamation",1.0413926851582251,"abrade",1.0413926851582251
"accolade",1.0413926851582251,"abrasive",1.0413926851582251
"accolades",1.0413926851582251,"abrupt",1.0413926851582251
"accommodative",1.0413926851582251,"abruptly",1.0413926851582251
"accomodative",1.0413926851582251,"abscond",1.0413926851582251
"accomplish",1.0413926851582251,"absence",1.0413926851582251
"accomplished",1.0413926851582251,"absent-minded",1.0413926851582251
"accomplishment",1.0413926851582251,"absentee",1.0413926851582251
"accomplishments",1.0413926851582251,"absurd",1.0413926851582251
"accurate",1.0413926851582251,"absurdity",1.0413926851582251
"accurately",1.0413926851582251,"absurdly",1.0413926851582251
"achievable",1.0413926851582251,"absurdness",1.0413926851582251
"achievement",1.0413926851582251,"abuse",1.0413926851582251
"achievements",1.0413926851582251,"abused",1.0413926851582251
"achievible",1.0413926851582251,"abuses",0.7403626894942439
"acumen",1.0413926851582251,"abusive",1.0413926851582251
"adaptable",1.0413926851582251,"abysmal",1.0413926851582251
"adaptive",1.0413926851582251,"abysmally",1.0413926851582251
"adequate",1.0413926851582251,"abyss",1.0413926851582251
"adjustable",1.0413926851582251,"accidental",1.0413926851582251
"admirable",1.0413926851582251,"accost",1.0413926851582251
"admirably",1.0413926851582251,"accursed",1.0413926851582251
"admiration",1.0413926851582251,"accusation",1.0413926851582251
"admire",1.0413926851582251,"accusations",1.0413926851582251
"admirer",1.0413926851582251,"accuse",1.0413926851582251
"admiring",1.0413926851582251,"accuses",1.0413926851582251
"admiringly",1.0413926851582251,"accusing",1.0413926851582251
"adorable",1.0413926851582251,"accusingly",1.0413926851582251
