"positive","pos_iwf","negative","neg_iwf"
"a+",1.2787536009528289,"abnormal",1.2787536009528289
"abound",1.2787536009528289,"abolish",1.2787536009528289
"abounds",1.2787536009528289,"abominable",1.2787536009528289
"abundance",1.2787536009528289,"abominably",1.2787536009528289
"abundant",1.2787536009528289,"abominate",1.2787536009528289
"accessable",1.2787536009528289,"abomination",1.2787536009528289
"accessible",1.2787536009528289,"abort",1.2787536009528289
"acclaim",1.2787536009528289,"aborted",1.2787536009528289
"acclaimed",1.2787536009528289,"aborts",1.2787536009528289
"acclamation",1.2787536009528289,"abrade",1.2787536009528289
"accolade",1.2787536009528289,"abrasive",1.2787536009528289
"accolades",1.2787536009528289,"abrupt",1.2787536009528289
"accommodative",1.2787536009528289,"abruptly",1.2787536009528289
"accomodative",1.2787536009528289,"abscond",1.2787536009528289
"accomplish",1.2787536009528289,"absence",1.2787536009528289
"accomplished",1.2787536009528289,"absent-minded",1.2787536009528289
"accomplishment",1.2787536009528289,"absentee",1.2787536009528289
"accomplishments",1.2787536009528289,"absurd",1.2787536009528289
"accurate",1.2787536009528289,"absurdity",1.2787536009528289
"accurately",1.2787536009528289,"absurdly",1.2787536009528289
"achievable",1.2787536009528289,"absurdness",1.2787536009528289
"achievement",1.2787536009528289,"abuse",1.2787536009528289
"achievements",1.2787536009528289,"abused",1.2787536009528289
"achievible",1.2787536009528289,"abuses",1.2787536009528289
"acumen",1.2787536009528289,"abusive",1.2787536009528289
"adaptable",1.2787536009528289,"abysmal",1.2787536009528289
"adaptive",1.2787536009528289,"abysmally",1.2787536009528289
"adequate",1.2787536009528289,"abyss",1.2787536009528289
"adjustable",1.2787536009528289,"accidental",1.2787536009528289
"admirable",1.2787536009528289,"accost",1.2787536009528289
"admirably",1.2787536009528289,"accursed",1.2787536009528289
"admiration",1.2787536009528289,"accusation",1.2787536009528289
"admire",1.2787536009528289,"accusations",1.2787536009528289
"admirer",1.2787536009528289,"accuse",1.2787536009528289
"admiring",1.2787536009528289,"accuses",1.2787536009528289
"admiringly",1.2787536009528289,"accusing",1.2787536009528289
"adorable",1.2787536009528289,"accusingly",1.2787536009528289
"adore",1.2787536009528289,"acerbate",1.2787536009528289
"adored",1.2787536009528289,"acerbic",1.2787536009528289
"adorer",1.2787536009528289,"acerbically",1.2787536009528289
"adoring",1.2787536009528289,"ache",1.2787536009528289
"adoringly",1.2787536009528289,"ached",1.2787536009528289
"adroit",1.2787536009528289,"aches",1.2787536009528289
"adroitly",1.2787536009528289,"achey",1.2787536009528289
"adulate",1.2787536009528289,"aching",1.2787536009528289
"adulation",1.2787536009528289,"acrid",1.2787536009528289
"adulatory",1.2787536009528289,"acridly",1.2787536009528289
"advanced",1.2787536009528289,"acridness",1.2787536009528289
"advantage",1.2787536009528289,"acrimonious",1.2787536009528289
"advantageous",1.2787536009528289,"acrimoniously",1.2787536009528289
"advantageously",1.2787536009528289,"acrimony",1.2787536009528289
"advantages",1.2787536009528289,"adamant",1.2787536009528289
"adventuresome",1.2787536009528289,"adamantly",1.2787536009528289
"adventurous",1.2787536009528289,"addict",1.2787536009528289
"advocate",1.2787536009528289,"addicted",1.2787536009528289
"advocated",1.2787536009528289,"addicting",1.2787536009528289
"advocates",1.2787536009528289,"addicts",1.2787536009528289
"affability",1.2787536009528289,"admonish",1.2787536009528289
"affable",1.2787536009528289,"admonisher",1.2787536009528289
"affably",1.2787536009528289,"admonishingly",1.2787536009528289
"affectation",1.2787536009528289,"admonishment",1.2787536009528289
"affection",1.2787536009528289,"admonition",1.2787536009528289
"affectionate",1.2787536009528289,"adulterate",1.2787536009528289
"affinity",1.2787536009528289,"adulterated",1.2787536009528289
"affirm",1.2787536009528289,"adulteration",1.2787536009528289
"affirmation",1.2787536009528289,"adulterier",1.2787536009528289
"affirmative",1.2787536009528289,"adversarial",1.2787536009528289
"affluence",1.2787536009528289,"adversary",1.2787536009528289
"affluent",1.2787536009528289,"adverse",1.2787536009528289
"afford",1.2787536009528289,"adversity",1.2787536009528289
"affordable",1.2787536009528289,"afflict",1.2787536009528289
"affordably",1.2787536009528289,"affliction",1.2787536009528289
"afordable",1.2787536009528289,"afflictive",1.2787536009528289
"agile",1.2787536009528289,"affront",1.2787536009528289
"agilely",1.2787536009528289,"afraid",1.2787536009528289
"agility",1.2787536009528289,"aggravate",1.2787536009528289
"agreeable",1.2787536009528289,"aggravating",1.2787536009528289
"agreeableness",1.2787536009528289,"aggravation",1.2787536009528289
"agreeably",1.2787536009528289,"aggression",1.2787536009528289
"all-around",1.2787536009528289,"aggressive",1.2787536009528289
"alluring",1.2787536009528289,"aggressiveness",1.2787536009528289
"alluringly",1.2787536009528289,"aggressor",1.2787536009528289
"altruistic",1.2787536009528289,"aggrieve",1.2787536009528289
"altruistically",1.2787536009528289,"aggrieved",1.2787536009528289
"amaze",1.2787536009528289,"aggrivation",1.2787536009528289
"amazed",1.2787536009528289,"aghast",1.2787536009528289
"amazement",1.2787536009528289,"agonies",1.2787536009528289
"amazes",1.2787536009528289,"agonize",1.2787536009528289
"amazing",1.2787536009528289,"agonizing",1.2787536009528289
"amazingly",1.2787536009528289,"agonizingly",1.2787536009528289
"ambitious",1.2787536009528289,"agony",1.2787536009528289
"ambitiously",1.2787536009528289,"aground",1.2787536009528289
"ameliorate",1.2787536009528289,"ail",1.2787536009528289
"amenable",1.2787536009528289,"ailing",1.2787536009528289
"amenity",1.2787536009528289,"ailment",1.2787536009528289
"amiability",1.2787536009528289,"aimless",1.2787536009528289
"amiabily",1.2787536009528289,"alarm",1.2787536009528289
"amiable",1.2787536009528289,"alarmed",1.2787536009528289
"amicability",1.2787536009528289,"alarming",1.2787536009528289
"amicable",1.2787536009528289,"alarmingly",1.2787536009528289
"amicably",1.2787536009528289,"alienate",1.2787536009528289
"amity",1.2787536009528289,"alienated",1.2787536009528289
"ample",1.2787536009528289,"alienation",1.2787536009528289
"amply",1.2787536009528289,"allegation",1.2787536009528289
"amuse",1.2787536009528289,"allegations",1.2787536009528289
"amusing",1.2787536009528289,"allege",1.2787536009528289
"amusingly",1.2787536009528289,"allergic",1.2787536009528289
"angel",1.2787536009528289,"allergies",1.2787536009528289
"angelic",1.2787536009528289,"allergy",1.2787536009528289
"apotheosis",1.2787536009528289,"aloof",1.2787536009528289
"appeal",1.2787536009528289,"altercation",1.2787536009528289
"appealing",1.2787536009528289,"ambiguity",1.2787536009528289
"applaud",1.2787536009528289,"ambiguous",1.2787536009528289
"appreciable",1.2787536009528289,"ambivalence",1.2787536009528289
"appreciate",1.2787536009528289,"ambivalent",1.2787536009528289
"appreciated",1.2787536009528289,"ambush",1.2787536009528289
"appreciates",1.2787536009528289,"amiss",1.2787536009528289
"appreciative",1.2787536009528289,"amputate",1.2787536009528289
"appreciatively",1.2787536009528289,"anarchism",1.2787536009528289
"appropriate",1.2787536009528289,"anarchist",1.2787536009528289
"approval",1.2787536009528289,"anarchistic",1.2787536009528289
"approve",1.2787536009528289,"anarchy",1.2787536009528289
"ardent",1.2787536009528289,"anemic",1.2787536009528289
"ardently",1.2787536009528289,"anger",1.2787536009528289
"ardor",1.2787536009528289,"angrily",1.2787536009528289
"articulate",1.2787536009528289,"angriness",1.2787536009528289
"aspiration",1.2787536009528289,"angry",1.2787536009528289
"aspirations",1.2787536009528289,"anguish",1.2787536009528289
"aspire",1.2787536009528289,"animosity",1.2787536009528289
"assurance",1.2787536009528289,"annihilate",1.2787536009528289
"assurances",1.2787536009528289,"annihilation",1.2787536009528289
"assure",1.2787536009528289,"annoy",1.2787536009528289
"assuredly",1.2787536009528289,"annoyance",1.2787536009528289
"assuring",1.2787536009528289,"annoyances",1.2787536009528289
"astonish",1.2787536009528289,"annoyed",1.2787536009528289
"astonished",1.2787536009528289,"annoying",1.2787536009528289
"astonishing",1.2787536009528289,"annoyingly",1.2787536009528289
"astonishingly",1.2787536009528289,"annoys",1.2787536009528289
"astonishment",1.2787536009528289,"anomalous",1.2787536009528289
"astound",1.2787536009528289,"anomaly",1.2787536009528289
"astounded",1.2787536009528289,"antagonism",1.2787536009528289
"astounding",1.2787536009528289,"antagonist",1.2787536009528289
"astoundingly",1.2787536009528289,"antagonistic",1.2787536009528289
"astutely",1.2787536009528289,"antagonize",1.2787536009528289
"attentive",1.2787536009528289,"anti-",1.2787536009528289
"attraction",1.2787536009528289,"anti-american",1.2787536009528289
"attractive",1.2787536009528289,"anti-israeli",1.2787536009528289
"attractively",1.2787536009528289,"anti-occupation",1.2787536009528289
"attune",1.2787536009528289,"anti-proliferation",1.2787536009528289
"audible",1.2787536009528289,"anti-semites",1.2787536009528289
"audibly",1.2787536009528289,"anti-social",1.2787536009528289
"auspicious",1.2787536009528289,"anti-us",1.2787536009528289
"authentic",1.2787536009528289,"anti-white",1.2787536009528289
"authoritative",1.2787536009528289,"antipathy",1.2787536009528289
"autonomous",1.2787536009528289,"antiquated",1.2787536009528289
"available",1.2787536009528289,"antithetical",1.2787536009528289
"aver",1.2787536009528289,"anxieties",1.2787536009528289
"avid",1.2787536009528289,"anxiety",1.2787536009528289
"avidly",1.2787536009528289,"anxious",1.2787536009528289
"award",1.2787536009528289,"anxiously",1.2787536009528289
"awarded",1.2787536009528289,"anxiousness",1.2787536009528289
"awards",1.2787536009528289,"apathetic",1.2787536009528289
"awe",1.2787536009528289,"apathetically",1.2787536009528289
"awed",1.2787536009528289,"apathy",1.2787536009528289
"awesome",1.2787536009528289,"apocalypse",1.2787536009528289
"awesomely",1.2787536009528289,"apocalyptic",1.2787536009528289
"awesomeness",1.2787536009528289,"apologist",1.2787536009528289
"awestruck",1.2787536009528289,"apologists",1.2787536009528289
"awsome",1.2787536009528289,"appal",1.2787536009528289
"backbone",1.2787536009528289,"appall",1.2787536009528289
"balanced",1.2787536009528289,"appalled",1.2787536009528289
"bargain",1.2787536009528289,"appalling",1.2787536009528289
"beauteous",1.2787536009528289,"appallingly",1.2787536009528289
"beautiful",1.2787536009528289,"apprehension",1.2787536009528289
"beautifullly",1.2787536009528289,"apprehensions",1.2787536009528289
"beautifully",1.2787536009528289,"apprehensive",1.2787536009528289
"beautify",1.2787536009528289,"apprehensively",1.2787536009528289
"beauty",1.2787536009528289,"arbitrary",1.2787536009528289
"beckon",1.2787536009528289,"arcane",1.2787536009528289
"beckoned",1.2787536009528289,"archaic",1.2787536009528289
"beckoning",1.2787536009528289,"arduous",0.9777236052888477
"beckons",1.2787536009528289,"arduously",1.2787536009528289
"believable",1.2787536009528289,"argumentative",1.2787536009528289
"believeable",1.2787536009528289,"arrogance",1.2787536009528289
"beloved",1.2787536009528289,"arrogant",1.2787536009528289
"benefactor",1.2787536009528289,"arrogantly",1.2787536009528289
"beneficent",1.2787536009528289,"ashamed",1.2787536009528289
"beneficial",1.2787536009528289,"asinine",1.2787536009528289
"beneficially",1.2787536009528289,"asininely",1.2787536009528289
"beneficiary",1.2787536009528289,"asinininity",1.2787536009528289
"benefit",1.2787536009528289,"askance",1.2787536009528289
"benefits",1.2787536009528289,"asperse",1.2787536009528289
"benevolence",1.2787536009528289,"aspersion",1.2787536009528289
"benevolent",1.2787536009528289,"aspersions",1.2787536009528289
"benifits",1.2787536009528289,"assail",1.2787536009528289
"best",1.2787536009528289,"assassin",1.2787536009528289
"best-known",1.2787536009528289,"assassinate",1.2787536009528289
"best-performing",1.2787536009528289,"assault",1.2787536009528289
"best-selling",1.2787536009528289,"assult",1.2787536009528289
"better",0.9777236052888477,"astray",1.2787536009528289
"better-known",1.2787536009528289,"asunder",1.2787536009528289
"better-than-expected",1.2787536009528289,"atrocious",1.2787536009528289
"beutifully",1.2787536009528289,"atrocities",1.2787536009528289
"blameless",1.2787536009528289,"atrocity",1.2787536009528289
"bless",1.2787536009528289,"atrophy",1.2787536009528289
"blessing",1.2787536009528289,"attack",1.2787536009528289
"bliss",1.2787536009528289,"attacks",1.2787536009528289
"blissful",1.2787536009528289,"audacious",1.2787536009528289
"blissfully",1.2787536009528289,"audaciously",1.2787536009528289
"blithe",1.2787536009528289,"audaciousness",1.2787536009528289
"blockbuster",1.2787536009528289,"audacity",1.2787536009528289
"bloom",1.2787536009528289,"audiciously",1.2787536009528289
"blossom",1.2787536009528289,"austere",1.2787536009528289
"bolster",1.2787536009528289,"authoritarian",1.2787536009528289
"bonny",1.2787536009528289,"autocrat",1.2787536009528289
"bonus",1.2787536009528289,"autocratic",1.2787536009528289
"bonuses",1.2787536009528289,"avalanche",1.2787536009528289
"boom",1.2787536009528289,"avarice",1.2787536009528289
"booming",1.2787536009528289,"avaricious",1.2787536009528289
"boost",1.2787536009528289,"avariciously",1.2787536009528289
"boundless",1.2787536009528289,"avenge",1.2787536009528289
"bountiful",1.2787536009528289,"averse",1.2787536009528289
"brainiest",1.2787536009528289,"aversion",1.2787536009528289
"brainy",1.2787536009528289,"aweful",1.2787536009528289
"brand-new",1.2787536009528289,"awful",1.2787536009528289
"brave",1.2787536009528289,"awfully",1.2787536009528289
"bravery",1.2787536009528289,"awfulness",1.2787536009528289
"bravo",1.2787536009528289,"awkward",1.2787536009528289
"breakthrough",1.2787536009528289,"awkwardness",1.2787536009528289
"breakthroughs",1.2787536009528289,"ax",1.2787536009528289
"breathlessness",1.2787536009528289,"babble",1.2787536009528289
